장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
지우펀,지우펀 대만,유적지 및 관광지,원래 목록: 2026 대만,대만,https://www.google.com/maps/search/?api=1&query=%EC%A7%80%EC%9A%B0%ED%8E%80,2026 대만
스펀 천등광장,스펀 천등광장 대만,유적지 및 관광지,주차장,대만,https://www.google.com/maps/search/?api=1&query=%EC%8A%A4%ED%8E%80%20%EC%B2%9C%EB%93%B1%EA%B4%91%EC%9E%A5,2026 대만
예류지질공원,예류지질공원 대만,자연 및 공원,자연보호구역,대만,https://www.google.com/maps/search/?api=1&query=%EC%98%88%EB%A5%98%EC%A7%80%EC%A7%88%EA%B3%B5%EC%9B%90,2026 대만
타이베이 시립 동물원,타이베이 시립 동물원 대만,자연 및 공원,동물원,대만,https://www.google.com/maps/search/?api=1&query=%ED%83%80%EC%9D%B4%EB%B2%A0%EC%9D%B4%20%EC%8B%9C%EB%A6%BD%20%EB%8F%99%EB%AC%BC%EC%9B%90,2026 대만
타이베이101 전망대,타이베이101 전망대 대만,유적지 및 관광지,관측소,대만,https://www.google.com/maps/search/?api=1&query=%ED%83%80%EC%9D%B4%EB%B2%A0%EC%9D%B4101%20%EC%A0%84%EB%A7%9D%EB%8C%80,2026 대만
중정기념당,중정기념당 대만,유적지 및 관광지,문화적 랜드마크,대만,https://www.google.com/maps/search/?api=1&query=%EC%A4%91%EC%A0%95%EA%B8%B0%EB%85%90%EB%8B%B9,2026 대만
미드타운리처드슨 호텔,미드타운리처드슨 호텔 대만,숙박,4성급 호텔,대만,https://www.google.com/maps/search/?api=1&query=%EB%AF%B8%EB%93%9C%ED%83%80%EC%9A%B4%EB%A6%AC%EC%B2%98%EB%93%9C%EC%8A%A8%20%ED%98%B8%ED%85%94,2026 대만
레이허우,레이허우 대만,식당 및 카페,NT$200~400,대만,https://www.google.com/maps/search/?api=1&query=%EB%A0%88%EC%9D%B4%ED%97%88%EC%9A%B0,대만 식당
은하동(銀河洞-韓式pocha),은하동 대만,식당 및 카페,NT$600~800,대만,https://www.google.com/maps/search/?api=1&query=%EC%9D%80%ED%95%98%EB%8F%99%28%E9%8A%80%E6%B2%B3%E6%B4%9E-%E9%9F%93%E5%BC%8Fpocha%29,대만 식당
키키레스토랑 (att 4 fun 지점),키키레스토랑 대만,식당 및 카페,"NT$400~1,000",대만,https://www.google.com/maps/search/?api=1&query=%ED%82%A4%ED%82%A4%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91%20%28att%204%20fun%20%EC%A7%80%EC%A0%90%29,대만 식당
