장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
La Tasqueta de Blai,La Tasqueta de Blai 스페인/포르투갈,식당 및 카페,€10~20,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=La%20Tasqueta%20de%20Blai,2026 스페인 포르토 여행
Bloody Mary Cocktail Bar,Bloody Mary Cocktail Bar 스페인/포르투갈,식당 및 카페,€10~20,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Bloody%20Mary%20Cocktail%20Bar,2026 스페인 포르토 여행
Can Ramonet,Can Ramonet 스페인/포르투갈,유적지 및 관광지,€30~50,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Can%20Ramonet,2026 스페인 포르토 여행
Turó de la Rovira,Turó de la Rovira 스페인/포르투갈,유적지 및 관광지,지역사 박물관,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Tur%C3%B3%20de%20la%20Rovira,2026 스페인 포르토 여행
Vinitus,Vinitus 스페인/포르투갈,식당 및 카페,€20~30,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Vinitus,2026 스페인 포르토 여행
시우다드 콘달,시우다드 콘달 스페인/포르투갈,식당 및 카페,€20~30,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%8B%9C%EC%9A%B0%EB%8B%A4%EB%93%9C%20%EC%BD%98%EB%8B%AC,2026 스페인 포르토 여행
Catedral-Basílica de Santa María de Mallorca,Catedral-Basílica de Santa María de Mallorca 스페인/포르투갈,유적지 및 관광지,대성당,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Catedral-Bas%C3%ADlica%20de%20Santa%20Mar%C3%ADa%20de%20Mallorca,2026 스페인 포르토 여행
Sa Calobra,Sa Calobra 스페인/포르투갈,자연 및 공원,해변,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Sa%20Calobra,2026 스페인 포르토 여행
Cala Llombards,Cala Llombards 스페인/포르투갈,식당 및 카페,명승지,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Cala%20Llombards,2026 스페인 포르토 여행
Cala Ferrera,Cala Ferrera 스페인/포르투갈,자연 및 공원,"Cala Ferrera
Balearic Islands
스페인",스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Cala%20Ferrera,2026 스페인 포르토 여행
Cala Mendia,Cala Mendia 스페인/포르투갈,자연 및 공원,만/포구,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Cala%20Mendia,2026 스페인 포르토 여행
Caló del Moro,Caló del Moro 스페인/포르투갈,자연 및 공원,해변,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Cal%C3%B3%20del%20Moro,2026 스페인 포르토 여행
Meia-Nau Porto,Meia-Nau Porto 스페인/포르투갈,식당 및 카페,€20~40,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Meia-Nau%20Porto,2026 스페인 포르토 여행
Vinhas d'Alho,Vinhas d'Alho 스페인/포르투갈,식당 및 카페,€20~45,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Vinhas%20d%27Alho,2026 스페인 포르토 여행
Taberna dos Fernandes,Taberna dos Fernandes 스페인/포르투갈,식당 및 카페,€20~40,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Taberna%20dos%20Fernandes,2026 스페인 포르토 여행
Restaurante Cantina 32,Restaurante Cantina 32 스페인/포르투갈,식당 및 카페,€20~45,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Restaurante%20Cantina%2032,2026 스페인 포르토 여행
카자 드 샤 다 보아 노바,카자 드 샤 다 보아 노바 스페인/포르투갈,식당 및 카페,€50 이상,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%B9%B4%EC%9E%90%20%EB%93%9C%20%EC%83%A4%20%EB%8B%A4%20%EB%B3%B4%EC%95%84%20%EB%85%B8%EB%B0%94,2026 스페인 포르토 여행
Praça Ribeira,Praça Ribeira 스페인/포르투갈,유적지 및 관광지,원래 목록: 2026 스페인 포르토 여행,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Pra%C3%A7a%20Ribeira,2026 스페인 포르토 여행
수정궁 정원,수정궁 정원 스페인/포르투갈,자연 및 공원,정원,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%88%98%EC%A0%95%EA%B6%81%20%EC%A0%95%EC%9B%90,2026 스페인 포르토 여행
모루 정원,모루 정원 스페인/포르투갈,자연 및 공원,정원,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EB%AA%A8%EB%A3%A8%20%EC%A0%95%EC%9B%90,2026 스페인 포르토 여행
El Pasaje Tapas,El Pasaje Tapas 스페인/포르투갈,유적지 및 관광지,€20~30,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=El%20Pasaje%20Tapas,2026 스페인 포르토 여행
메트로폴 파라솔(라스 세타스 데 세비야),메트로폴 파라솔 스페인/포르투갈,유적지 및 관광지,문화적 랜드마크,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EB%A9%94%ED%8A%B8%EB%A1%9C%ED%8F%B4%20%ED%8C%8C%EB%9D%BC%EC%86%94%28%EB%9D%BC%EC%8A%A4%20%EC%84%B8%ED%83%80%EC%8A%A4%20%EB%8D%B0%20%EC%84%B8%EB%B9%84%EC%95%BC%29,2026 스페인 포르토 여행
스페인 광장,스페인 광장 스페인/포르투갈,유적지 및 관광지,대광장,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%8A%A4%ED%8E%98%EC%9D%B8%20%EA%B4%91%EC%9E%A5,2026 스페인 포르토 여행
El Jueves rastro,El Jueves rastro 스페인/포르투갈,쇼핑 및 시장,벼룩시장,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=El%20Jueves%20rastro,2026 스페인 포르토 여행
팔라시오 데 라스 두에나스,팔라시오 데 라스 두에나스 스페인/포르투갈,유적지 및 관광지,역사적 명소,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%ED%8C%94%EB%9D%BC%EC%8B%9C%EC%98%A4%20%EB%8D%B0%20%EB%9D%BC%EC%8A%A4%20%EB%91%90%EC%97%90%EB%82%98%EC%8A%A4,2026 스페인 포르토 여행
카사 데 필라토스,카사 데 필라토스 스페인/포르투갈,유적지 및 관광지,역사 유적지 박물관,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%B9%B4%EC%82%AC%20%EB%8D%B0%20%ED%95%84%EB%9D%BC%ED%86%A0%EC%8A%A4,2026 스페인 포르토 여행
"Santa Cruz, Seville","Santa Cruz, Seville 스페인/포르투갈",유적지 및 관광지,Casco Antiguo,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Santa%20Cruz%2C%20Seville,2026 스페인 포르토 여행
알카사르,알카사르 스페인/포르투갈,유적지 및 관광지,성곽,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%95%8C%EC%B9%B4%EC%82%AC%EB%A5%B4,2026 스페인 포르토 여행
Casa Salesas,Casa Salesas 스페인/포르투갈,식당 및 카페,€30~70,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Casa%20Salesas,2026 스페인 포르토 여행
메손 델 참피뇬,메손 델 참피뇬 스페인/포르투갈,식당 및 카페,€10~20,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EB%A9%94%EC%86%90%20%EB%8D%B8%20%EC%B0%B8%ED%94%BC%EB%87%AC,2026 스페인 포르토 여행
레티로 공원,레티로 공원 스페인/포르투갈,자연 및 공원,공원,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EB%A0%88%ED%8B%B0%EB%A1%9C%20%EA%B3%B5%EC%9B%90,2026 스페인 포르토 여행
구엘 공원,구엘 공원 스페인/포르투갈,자연 및 공원,공원,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EA%B5%AC%EC%97%98%20%EA%B3%B5%EC%9B%90,2026 스페인 포르토 여행
사그라다 파밀리아,사그라다 파밀리아 스페인/포르투갈,유적지 및 관광지,바실리카,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%82%AC%EA%B7%B8%EB%9D%BC%EB%8B%A4%20%ED%8C%8C%EB%B0%80%EB%A6%AC%EC%95%84,2026 스페인 포르토 여행
